;0
0;хот
1;я
2;и
3;школот
4;но
5;повер
6;у
7;нас
8;то
9;же
10;сам
11;обществ
12;профилир
13;предмет
14;тип
15;Да
16;все
17;так
18;он
19;немн
20;похож
21;на
22;нег
23;Но
24;мо
25;мальчик
26;равн
27;лучш
28;Ну
29;ты
30;идиотк
31;испуга
32;за
33;теб
34;Кто
35;в
36;угл
37;сид
38;погиба
39;от
40;голод
41;а
42;мы
43;ещ
44;порц
45;взял
46;уж
47;жрат
48;не
49;Вот
50;что
51;знач
52;страшилк
53;блин
54;посмотр
55;част
56;создаст
57;ощущен
58;автор
59;кур
60;ну
61;люб
62;ил
63;нет
64;Я
65;зна
66;кто
67;бля
68;Ох
69;эт
70;конечн
71;Чтоб
72;был
73;мног
74;друз
75;вед
76;мим
77;У
78;ест
79;ухаж
80;р
81;Нет
82;уш
83;жр
84;т
85;Поприветству
86;нов
87;читател
88;Тепер
89;мен
90;частичк
91;Сидне
92;Любл
93;мам
94;пап
95;остальн
96;влюбля
97;привязыва
98;Как
99;заб
100;вчер
101;приеха
102;из
103;деревн
104;наш
105;котэн
106;когд
107;утр
108;пришел
109;ко
110;мне
111;обща
112;Добр
113;задума
114;да
115;даааа
116;Ты
117;тольк
118;О
119;Вы
120;вс
121;обзор
122;уреза
123;Прост
124;одн
125;верс
126;сильн
127;пореза
128;друг
129;полн
130;без
131;мусор
132;смотр
133;там
134;случайн
135;аспирантур
136;попад
137;наук
138;ник
139;до
140;добр
141;довод
142;эхх
143;УГАТУ
144;о
145;контрольн
146;предупрежда
147;подума
148;пробежечк
149;зря
150;вы
151;с
152;хуйн
153;шут
154;истор
155;наблюда
156;режим
157;рил
158;времен
159;по
160;работ
161;русск
162;котор
163;разбива
164;них
165;Очен
166;главн
167;спасиб
168;МЕДВЕД
169;работа
170;клоун
171;аниматор
172;прекрасн
173;как
174;сдохнут
175;недел
176;сегодн
177;стольк
178;повод
179;вып
180;мог
181;усидет
182;мест
183;уныл
184;наверн
185;вдруг
186;ег
187;перед
188;чпокнул
189;При
190;поддержк
191;администрац
192;МО
193;Белевск
194;район
195;сборн
196;хооорош
197;валя
198;бедн
199;обколот
200;попец
201;хочет
202;прогулк
203;Хот
204;ког
205;заеб
206;Настюх
207;рад
208;пиздец
209;прям
210;искрен
211;справедлив
212;свет
