"Дата";"Цена";"Откр";"Макс";"Мин";"Изм %"
"26042019";"111.82";"111.54";"111.83";"111.46";"0.25%"
"25042019";"111.54";"112.14";"112.24";"111.39";"-0.57%"
"24042019";"112.19";"111.86";"112.41";"111.69";"0.30%"
"23042019";"111.86";"111.94";"112.03";"111.64";"-0.07%"
"22042019";"111.94";"111.93";"111.99";"111.85";"0.02%"
"21042019";"111.92";"111.93";"111.96";"111.86";"0.00%"
"19042019";"111.92";"111.97";"112.01";"111.88";"-0.04%"
"18042019";"111.97";"112.06";"112.08";"111.77";"-0.08%"
"17042019";"112.06";"112.03";"112.17";"111.92";"0.05%"
"16042019";"112.00";"112.05";"112.06";"111.84";"-0.03%"
"15042019";"112.03";"112.00";"112.09";"111.88";"-0.00%"
"14042019";"112.04";"112.00";"112.06";"111.93";"0.00%"
"12042019";"112.03";"111.66";"112.09";"111.58";"0.32%"
"11042019";"111.67";"111.03";"111.70";"110.91";"0.59%"
"10042019";"111.02";"111.14";"111.28";"110.84";"-0.11%"
"09042019";"111.14";"111.49";"111.59";"110.98";"-0.30%"
"08042019";"111.48";"111.72";"111.80";"111.28";"-0.20%"
"07042019";"111.71";"111.71";"111.79";"111.68";"-0.02%"
"05042019";"111.73";"111.64";"111.81";"111.58";"0.05%"
"04042019";"111.67";"111.48";"111.69";"111.33";"0.17%"
"03042019";"111.48";"111.33";"111.58";"111.20";"0.13%"
"02042019";"111.33";"111.34";"111.47";"111.25";"-0.03%"
"01042019";"111.36";"110.81";"111.45";"110.81";"0.34%"
"31032019";"110.99";"110.97";"111.10";"110.88";"0.11%"
"29032019";"110.86";"110.62";"110.95";"110.53";"0.20%"
"28032019";"110.64";"110.52";"110.83";"110.03";"0.11%"
"27032019";"110.52";"110.64";"110.70";"110.22";"-0.11%"
"26032019";"110.64";"109.97";"110.69";"109.94";"0.61%"
"25032019";"109.97";"109.86";"110.25";"109.72";"-0.11%"
"24032019";"110.10";"109.93";"110.14";"109.75";"0.16%"
"22032019";"109.92";"110.81";"110.91";"109.75";"-0.80%"
"21032019";"110.81";"110.72";"110.97";"110.30";"0.11%"
"20032019";"110.69";"111.41";"111.69";"110.53";"-0.63%"
"19032019";"111.39";"111.44";"111.48";"111.16";"-0.03%"
"18032019";"111.42";"111.45";"111.62";"111.28";"-0.12%"
"17032019";"111.56";"111.50";"111.57";"111.44";"0.08%"
"15032019";"111.47";"111.70";"111.91";"111.39";"-0.22%"
"14032019";"111.72";"111.16";"111.84";"111.14";"0.49%"
"13032019";"111.17";"111.36";"111.47";"111.00";"-0.17%"
"12032019";"111.36";"111.20";"111.47";"111.11";"0.14%"
"11032019";"111.20";"111.14";"111.31";"110.88";"0.10%"
"10032019";"111.08";"111.17";"111.18";"110.96";"-0.08%"
"08032019";"111.17";"111.58";"111.66";"110.78";"-0.38%"
"07032019";"111.59";"111.77";"111.86";"111.48";"-0.16%"
"06032019";"111.77";"111.89";"111.94";"111.61";"-0.11%"
"05032019";"111.89";"111.72";"112.12";"111.70";"0.13%"
"04032019";"111.75";"111.77";"112.02";"111.64";"-0.17%"
"03032019";"111.94";"111.89";"111.96";"111.72";"0.02%"
"01032019";"111.92";"111.39";"112.08";"111.33";"0.48%"
"28022019";"111.39";"111.00";"111.50";"110.66";"0.35%"
"27022019";"111.00";"110.58";"111.08";"110.36";"0.38%"
"26022019";"110.58";"111.06";"111.09";"110.42";"-0.43%"
"25022019";"111.06";"110.67";"111.23";"110.56";"0.26%"
"24022019";"110.78";"110.68";"110.79";"110.63";"0.08%"
"22022019";"110.69";"110.69";"110.92";"110.56";"-0.01%"
"21022019";"110.70";"110.86";"110.89";"110.58";"-0.14%"
"20022019";"110.86";"110.63";"110.95";"110.52";"0.22%"
"19022019";"110.62";"110.61";"110.83";"110.45";"0.00%"
"18022019";"110.62";"110.45";"110.67";"110.39";"0.04%"
"17022019";"110.57";"110.50";"110.57";"110.39";"0.07%"
"15022019";"110.50";"110.48";"110.66";"110.25";"0.02%"
"14022019";"110.48";"111.01";"111.13";"110.45";"-0.47%"
"13022019";"111.00";"110.50";"111.06";"110.42";"0.47%"
"12022019";"110.48";"110.36";"110.64";"110.33";"0.09%"
"11022019";"110.38";"109.83";"110.47";"109.69";"0.51%"
"10022019";"109.82";"109.76";"109.87";"109.69";"0.08%"
"08022019";"109.73";"109.81";"109.91";"109.64";"-0.07%"
